"date","close","volume","open","high","low"
"2018/05/07","1600.1400","3793376.0000","1589.3370","1606.9490","1587.8300"
"2018/05/04","1580.9500","3414088.0000","1562.4500","1584.9000","1562.1900"
"2018/05/03","1572.0750","4235885.0000","1560.0100","1574.8000","1546.0200"
"2018/05/02","1569.6800","4252230.0000","1580.9800","1588.4992","1566.3600"
"2018/05/01","1582.2600","4551661.0000","1563.2200","1585.0000","1552.1800"
"2018/04/30","1566.1300","5421282.0000","1582.5000","1596.0000","1560.9410"
"2018/04/27","1572.6200","13025430.0000","1634.0100","1638.1000","1567.3860"
"2018/04/26","1517.9600","8309864.0000","1485.0100","1529.4200","1478.5000"
"2018/04/25","1460.1700","6365989.0000","1458.0000","1469.9900","1415.0200"
"2018/04/24","1460.0900","7470059.0000","1535.8000","1539.5000","1448.4475"
"2018/04/23","1517.8600","4447801.0000","1546.6947","1548.0000","1503.4103"
"2018/04/20","1527.4900","5520642.0000","1561.1999","1561.1999","1516.0930"
"2018/04/19","1556.9100","6483967.0000","1543.2200","1568.5200","1539.0600"
"2018/04/18","1527.8400","5091677.0000","1514.6500","1533.8000","1504.1100"
"2018/04/17","1503.8300","5008532.0000","1462.2950","1507.1900","1457.0219"
"2018/04/16","1441.5000","2773836.0000","1445.0000","1447.0000","1427.4800"
"2018/04/13","1430.7900","3637586.0000","1449.1360","1459.7808","1424.5200"
"2018/04/12","1448.5000","3116939.0000","1439.5000","1452.1200","1435.0600"
"2018/04/11","1427.0500","3544449.0000","1439.4400","1448.7758","1424.8900"
"2018/04/10","1436.2200","4258358.0000","1431.9900","1438.3800","1415.7000"
"2018/04/09","1406.0800","4193564.0000","1425.0300","1438.4800","1402.5710"
"2018/04/06","1405.2300","5838758.0000","1429.9700","1452.5020","1400.2600"
"2018/04/05","1451.7500","6305513.0000","1441.9900","1459.5575","1427.0700"
"2018/04/04","1410.5700","6942485.0000","1358.2400","1415.3900","1352.8800"
"2018/04/03","1392.0500","10212940.0000","1391.3800","1414.0000","1355.3300"
"2018/04/02","1371.9900","10432560.0000","1417.6200","1421.3580","1355.0000"
